match_id,inning,over,ball,batter,bowler,non_striker,batsman_runs,extra_runs,total_runs,extras_type,is_wicket,player_dismissed,dismissal_kind,fielder
1473438,1,0,1,Q de Kock,JR Hazlewood,SP Narine,0,0,0,,0,,,
1473438,1,0,2,Q de Kock,JR Hazlewood,SP Narine,4,0,4,,0,,,
1473438,1,0,3,Q de Kock,JR Hazlewood,SP Narine,0,0,0,,0,,,
1473438,1,0,4,Q de Kock,JR Hazlewood,SP Narine,0,0,0,,0,,,
1473438,1,0,5,Q de Kock,JR Hazlewood,SP Narine,0,0,0,,1,Q de Kock,caught,JM Sharma
1473438,1,0,6,AM Rahane,JR Hazlewood,SP Narine,0,0,0,,0,,,
1473438,1,1,1,SP Narine,Yash Dayal,AM Rahane,0,0,0,,0,,,
1473438,1,1,2,SP Narine,Yash Dayal,AM Rahane,0,0,0,,0,,,
1473438,1,1,3,SP Narine,Yash Dayal,AM Rahane,0,0,0,,0,,,
1473438,1,1,4,SP Narine,Yash Dayal,AM Rahane,0,0,0,,0,,,
1473438,1,1,5,SP Narine,Yash Dayal,AM Rahane,1,0,1,,0,,,
1473438,1,1,6,AM Rahane,Yash Dayal,SP Narine,0,0,0,,0,,,
1473438,1,2,1,SP Narine,JR Hazlewood,AM Rahane,0,0,0,,0,,,
1473438,1,2,2,SP Narine,JR Hazlewood,AM Rahane,0,0,0,,0,,,
1473438,1,2,3,SP Narine,JR Hazlewood,AM Rahane,0,0,0,,0,,,
1473438,1,2,4,SP Narine,JR Hazlewood,AM Rahane,4,0,4,,0,,,
1473438,1,2,5,SP Narine,JR Hazlewood,AM Rahane,0,0,0,,0,,,
1473438,1,2,6,SP Narine,JR Hazlewood,AM Rahane,0,0,0,,0,,,
1473438,1,3,1,AM Rahane,Rasikh Salam,SP Narine,0,0,0,,0,,,
1473438,1,3,2,AM Rahane,Rasikh Salam,SP Narine,4,0,4,,0,,,
1473438,1,3,3,AM Rahane,Rasikh Salam,SP Narine,6,0,6,,0,,,
1473438,1,3,4,AM Rahane,Rasikh Salam,SP Narine,0,0,0,,0,,,
1473438,1,3,5,AM Rahane,Rasikh Salam,SP Narine,6,0,6,,0,,,
1473438,1,3,6,AM Rahane,Rasikh Salam,SP Narine,0,0,0,,0,,,
1473438,1,4,1,SP Narine,KH Pandya,AM Rahane,6,0,6,,0,,,
1473438,1,4,2,SP Narine,KH Pandya,AM Rahane,1,0,1,,0,,,
1473438,1,4,3,AM Rahane,KH Pandya,SP Narine,0,0,0,,0,,,
1473438,1,4,4,AM Rahane,KH Pandya,SP Narine,0,0,0,,0,,,
1473438,1,4,5,AM Rahane,KH Pandya,SP Narine,4,0,4,,0,,,
1473438,1,4,6,AM Rahane,KH Pandya,SP Narine,4,0,4,,0,,,
1473438,1,5,1,SP Narine,Yash Dayal,AM Rahane,4,0,4,,0,,,
1473438,1,5,2,SP Narine,Yash Dayal,AM Rahane,1,0,1,,0,,,
1473438,1,5,3,AM Rahane,Yash Dayal,SP Narine,4,0,4,,0,,,
1473438,1,5,4,AM Rahane,Yash Dayal,SP Narine,6,0,6,,0,,,
1473438,1,5,5,AM Rahane,Yash Dayal,SP Narine,4,0,4,,0,,,
1473438,1,5,6,AM Rahane,Yash Dayal,SP Narine,1,0,1,,0,,,
1473438,1,6,1,AM Rahane,Suyash Sharma,SP Narine,0,0,0,,0,,,
1473438,1,6,2,AM Rahane,Suyash Sharma,SP Narine,4,0,4,,0,,,
1473438,1,6,3,AM Rahane,Suyash Sharma,SP Narine,0,0,0,,0,,,
1473438,1,6,4,AM Rahane,Suyash Sharma,SP Narine,0,0,0,,0,,,
1473438,1,6,5,AM Rahane,Suyash Sharma,SP Narine,0,0,0,,0,,,
1473438,1,6,6,AM Rahane,Suyash Sharma,SP Narine,1,0,1,,0,,,
1473438,1,7,1,AM Rahane,Rasikh Salam,SP Narine,0,1,1,legbyes,0,,,
1473438,1,7,2,SP Narine,Rasikh Salam,AM Rahane,0,1,1,wides,0,,,
1473438,1,7,3,SP Narine,Rasikh Salam,AM Rahane,1,0,1,,0,,,
1473438,1,7,4,AM Rahane,Rasikh Salam,SP Narine,1,0,1,,0,,,
