id,season,city,date,match_type,player_of_match,venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,target_runs,target_overs,super_over,method,umpire1,umpire2
1473438,2025,Kolkata,2025-03-22,T20,KH Pandya,"Eden Gardens, Kolkata",Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,wickets,7,,,N,,,
1473439,2025,Hyderabad,2025-03-23,T20,Ishan Kishan,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Sunrisers Hyderabad,runs,44,,,N,,,
1473440,2025,Chennai,2025-03-23,T20,Noor Ahmad,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,4,,,N,,,
1473441,2025,Visakhapatnam,2025-03-24,T20,Ashutosh Sharma,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Lucknow Super Giants,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,1,,,N,,,
1473442,2025,Ahmedabad,2025-03-25,T20,SS Iyer,"Narendra Modi Stadium, Ahmedabad",Punjab Kings,Gujarat Titans,Gujarat Titans,field,Punjab Kings,runs,11,,,N,,,
1473443,2025,Guwahati,2025-03-26,T20,Q de Kock,"Barsapara Cricket Stadium, Guwahati",Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,8,,,N,,,
1473444,2025,Hyderabad,2025-03-27,T20,SN Thakur,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants,field,Lucknow Super Giants,wickets,5,,,N,,,
1473445,2025,Chennai,2025-03-28,T20,RM Patidar,"MA Chidambaram Stadium, Chepauk, Chennai",Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,field,Royal Challengers Bengaluru,runs,50,,,N,,,
1473446,2025,Ahmedabad,2025-03-29,T20,M Prasidh Krishna,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Mumbai Indians,Mumbai Indians,field,Gujarat Titans,runs,36,,,N,,,
1473447,2025,Visakhapatnam,2025-03-30,T20,MA Starc,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,Delhi Capitals,wickets,7,,,N,,,
1473448,2025,Guwahati,2025-03-30,T20,N Rana,"Barsapara Cricket Stadium, Guwahati",Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,Rajasthan Royals,runs,6,,,N,,,
1473449,2025,Mumbai,2025-03-31,T20,Ashwani Kumar,"Wankhede Stadium, Mumbai",Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,8,,,N,,,
1473450,2025,Lucknow,2025-04-01,T20,P Simran Singh,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Punjab Kings,Punjab Kings,field,Punjab Kings,wickets,8,,,N,,,
1473451,2025,Bengaluru,2025-04-02,T20,Mohammed Siraj,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,wickets,8,,,N,,,
1473452,2025,Kolkata,2025-04-03,T20,VG Arora,"Eden Gardens, Kolkata",Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,runs,80,,,N,,,
1473453,2025,Lucknow,2025-04-04,T20,DS Rathi,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Mumbai Indians,Mumbai Indians,field,Lucknow Super Giants,runs,12,,,N,,,
1473454,2025,Chennai,2025-04-05,T20,KL Rahul,"MA Chidambaram Stadium, Chepauk, Chennai",Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,Delhi Capitals,runs,25,,,N,,,
1473455,2025,Mohali,2025-04-05,T20,JC Archer,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Rajasthan Royals,Punjab Kings,Punjab Kings,field,Rajasthan Royals,runs,50,,,N,,,
1473456,2025,Kolkata,2025-04-08,T20,N Pooran,"Eden Gardens, Kolkata",Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,field,Lucknow Super Giants,runs,4,,,N,,,
1473457,2025,Hyderabad,2025-04-06,T20,Mohammed Siraj,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,wickets,7,,,N,,,
1473458,2025,Mumbai,2025-04-07,T20,RM Patidar,"Wankhede Stadium, Mumbai",Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,Royal Challengers Bengaluru,runs,12,,,N,,,
1473459,2025,Mohali,2025-04-08,T20,Priyansh Arya,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Punjab Kings,Chennai Super Kings,Punjab Kings,bat,Punjab Kings,runs,18,,,N,,,
1473460,2025,Ahmedabad,2025-04-09,T20,B Sai Sudharsan,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,Gujarat Titans,runs,58,,,N,,,
1473461,2025,Bengaluru,2025-04-10,T20,KL Rahul,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,6,,,N,,,
1473462,2025,Chennai,2025-04-11,T20,SP Narine,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,8,,,N,,,
1473463,2025,Lucknow,2025-04-12,T20,AK Markram,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Gujarat Titans,Lucknow Super Giants,Lucknow Super Giants,field,Lucknow Super Giants,wickets,6,,,N,,,
1473464,2025,Hyderabad,2025-04-12,T20,Abhishek Sharma,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Punjab Kings,Sunrisers Hyderabad,Punjab Kings,bat,Sunrisers Hyderabad,wickets,8,,,N,,,
1473465,2025,Jaipur,2025-04-13,T20,PD Salt,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,wickets,9,,,N,,,
1473466,2025,Delhi,2025-04-13,T20,KV Sharma,"Arun Jaitley Stadium, Delhi",Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Mumbai Indians,runs,12,,,N,,,
1473467,2025,Lucknow,2025-04-14,T20,MS Dhoni,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,5,,,N,,,
1473468,2025,Mohali,2025-04-15,T20,YS Chahal,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Punjab Kings,Kolkata Knight Riders,Punjab Kings,bat,Punjab Kings,runs,16,,,N,,,
1473469,2025,Delhi,2025-04-16,T20,MA Starc,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,,tie,,,,N,,,
1473470,2025,Mumbai,2025-04-17,T20,WG Jacks,"Wankhede Stadium, Mumbai",Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,4,,,N,,,
1473471,2025,Bengaluru,2025-04-18,T20,TH David,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,field,Punjab Kings,wickets,5,,,N,,,
1473472,2025,Ahmedabad,2025-04-19,T20,JC Buttler,"Narendra Modi Stadium, Ahmedabad",Delhi Capitals,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,wickets,7,,,N,,,
1473473,2025,Jaipur,2025-04-19,T20,Avesh Khan,"Sawai Mansingh Stadium, Jaipur",Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,bat,Lucknow Super Giants,runs,2,,,N,,,
1473474,2025,Mohali,2025-04-20,T20,V Kohli,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,wickets,7,,,N,,,
1473475,2025,Mumbai,2025-04-20,T20,RG Sharma,"Wankhede Stadium, Mumbai",Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,9,,,N,,,
1473476,2025,Kolkata,2025-04-21,T20,Shubman Gill,"Eden Gardens, Kolkata",Gujarat Titans,Kolkata Knight Riders,Kolkata Knight Riders,field,Gujarat Titans,runs,39,,,N,,,
1473477,2025,Lucknow,2025-04-22,T20,Mukesh Kumar,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,8,,,N,,,
1473478,2025,Hyderabad,2025-04-23,T20,TA Boult,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,7,,,N,,,
1473479,2025,Bengaluru,2025-04-24,T20,JR Hazlewood,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,field,Royal Challengers Bengaluru,runs,11,,,N,,,
1473480,2025,Chennai,2025-04-25,T20,HV Patel,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,5,,,N,,,
1473481,2025,Kolkata,2025-04-26,T20,,"Eden Gardens, Kolkata",Punjab Kings,Kolkata Knight Riders,Punjab Kings,bat,,no result,,,,N,,,
1473482,2025,Mumbai,2025-04-27,T20,WG Jacks,"Wankhede Stadium, Mumbai",Mumbai Indians,Lucknow Super Giants,Lucknow Super Giants,field,Mumbai Indians,runs,54,,,N,,,
1473483,2025,Delhi,2025-04-27,T20,KH Pandya,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,wickets,6,,,N,,,
1473484,2025,Jaipur,2025-04-28,T20,V Suryavanshi,"Sawai Mansingh Stadium, Jaipur",Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,8,,,N,,,
1473485,2025,Delhi,2025-04-29,T20,SP Narine,"Arun Jaitley Stadium, Delhi",Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Kolkata Knight Riders,runs,14,,,N,,,
1473486,2025,Chennai,2025-04-30,T20,SS Iyer,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Punjab Kings,Punjab Kings,field,Punjab Kings,wickets,4,,,N,,,
1473487,2025,Jaipur,2025-05-01,T20,RD Rickelton,"Sawai Mansingh Stadium, Jaipur",Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Mumbai Indians,runs,100,,,N,,,
1473488,2025,Ahmedabad,2025-05-02,T20,M Prasidh Krishna,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Gujarat Titans,runs,38,,,N,,,
1473489,2025,Bengaluru,2025-05-03,T20,R Shepherd,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,field,Royal Challengers Bengaluru,runs,2,,,N,,,
1473490,2025,Kolkata,2025-05-04,T20,AD Russell,"Eden Gardens, Kolkata",Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,bat,Kolkata Knight Riders,runs,1,,,N,,,
1473491,2025,Dharamsala,2025-05-04,T20,P Simran Singh,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Punjab Kings,Lucknow Super Giants,Lucknow Super Giants,field,Punjab Kings,runs,37,,,N,,,
