player,matches,total_runs,total_balls_faced,total_fours,total_sixes,dismissals,total_balls_bowled,total_runs_conceded,total_wickets,total_catches,leagues,batting_avg,strike_rate,bowling_avg,economy,overs_bowled
Jason Holder,68,873,550,47,68,36,1474,2095,94,38,"CPL,ILT20,MLC,PSL,T20I",24.25,158.73,22.29,8.53,245.7
Sherfane Rutherford,67,1562,1041,115,99,53,96,174,8,17,"CPL,ILT20,IPL,MLC,SA20,T20I",29.47,150.05,21.75,10.88,16.0
Akeal Hosein,62,232,153,14,17,13,1269,1628,68,4,"CPL,Hundred,MLC,PSL,SA20,T20I",17.85,151.63,23.94,7.7,211.5
Romario Shepherd,61,840,490,56,67,30,961,1548,52,9,"CPL,ILT20,IPL,MLC,T20I",28.0,171.43,29.77,9.66,160.2
Tim Seifert,56,1711,1134,181,74,51,0,0,0,13,"BBL,CPL,MLC,PSL,T20I",33.55,150.88,0.0,0.0,0.0
Nicholas Pooran,55,1540,1102,100,98,44,0,0,0,11,"CPL,ILT20,IPL,MLC,SA20",35.0,139.75,0.0,0.0,0.0
Quinton de Kock,54,1473,1013,127,80,53,0,0,0,28,"CPL,IPL,MLC,SA20,T20I",27.79,145.41,0.0,0.0,0.0
Philip Salt,53,1545,1016,147,71,50,0,0,0,12,"Hundred,ILT20,IPL,T20Blast,T20I",30.9,152.07,0.0,0.0,0.0
Rovman Powell,53,1111,720,73,75,38,6,21,0,16,"CPL,ILT20,IPL,MLC,SA20,T20I",29.24,154.31,0.0,21.0,1.0
Shimron Hetmyer,53,1429,807,99,96,45,0,0,0,20,"CPL,ILT20,IPL,MLC,T20I",31.76,177.08,0.0,0.0,0.0
Jos Buttler,53,1640,1073,159,75,47,0,0,0,21,"Hundred,IPL,SA20,T20Blast,T20I",34.89,152.84,0.0,0.0,0.0
Marcus Stoinis,51,839,594,61,43,31,703,1085,44,12,"BBL,Hundred,IPL,MLC,T20I",27.06,141.25,24.66,9.26,117.2
Tom Banton,50,1118,811,113,42,42,0,0,0,13,"Hundred,ILT20,T20Blast,T20I",26.62,137.85,0.0,0.0,0.0
Dewald Brevis,48,1430,855,77,118,43,0,0,0,18,"IPL,SA20,T20Blast,T20I",33.26,167.25,0.0,0.0,0.0
Mitchell Santner,46,443,304,35,22,16,946,1244,48,9,"Hundred,IPL,T20Blast,T20I",27.69,145.72,25.92,7.89,157.7
Abhishek Sharma,46,1615,810,160,109,43,171,277,8,12,"IPL,SMAT,T20I",37.56,199.38,34.62,9.72,28.5
Will Jacks,45,1232,780,123,56,34,401,555,28,23,"Hundred,IPL,T20Blast,T20I",36.24,157.95,19.82,8.3,66.8
Sunil Narine,45,323,212,30,23,24,1050,1147,38,10,"CPL,ILT20,IPL,MLC,SA20",13.46,152.36,30.18,6.55,175.0
Luke Wood,43,73,80,5,1,13,887,1255,55,17,"BBL,Hundred,PSL,T20Blast,T20I",5.62,91.25,22.82,8.49,147.8
Ben Dwarshuis,43,430,308,28,22,20,932,1360,57,3,"BBL,PSL,T20Blast,T20I",21.5,139.61,23.86,8.76,155.3
Trent Boult,43,65,48,3,4,5,908,1341,49,4,"Hundred,IPL,MLC,SA20",13.0,135.42,27.37,8.86,151.3
Noor Ahmad,42,18,30,0,1,10,912,1223,50,5,"Hundred,ILT20,IPL,MLC,SA20",1.8,60.0,24.46,8.05,152.0
Rachin Ravindra,42,889,585,92,34,37,251,345,19,6,"Hundred,IPL,MLC,T20I",24.03,151.97,18.16,8.25,41.8
Suryakumar Yadav,41,1290,818,123,64,31,0,0,0,9,"IPL,T20I",41.61,157.7,0.0,0.0,0.0
Mitchell Marsh,40,1454,951,130,86,37,0,0,0,4,"BBL,IPL,T20I",39.3,152.89,0.0,0.0,0.0
Finn Allen,38,1389,710,101,112,35,0,0,0,10,"BBL,MLC,PSL,T20I",39.69,195.63,0.0,0.0,0.0
Shivam Dube,38,771,502,46,52,23,251,442,18,11,"IPL,T20I",33.52,153.59,24.56,10.57,41.8
Xavier Bartlett,38,280,203,21,17,17,796,1196,48,18,"BBL,IPL,MLC,T20I",16.47,137.93,24.92,9.02,132.7
Hardik Pandya,37,689,409,50,44,24,582,911,31,9,"IPL,T20I",28.71,168.46,29.39,9.39,97.0
Liam Livingstone,37,875,572,38,67,29,316,440,18,8,"Hundred,ILT20,IPL,SA20,T20Blast",30.17,152.97,24.44,8.35,52.7
Aiden Markram,36,1304,840,123,58,33,168,269,8,16,"IPL,SA20,T20I",39.52,155.24,33.62,9.61,28.0
Heinrich Klaasen,35,826,577,57,45,30,0,0,0,3,"Hundred,IPL,MLC,SA20",27.53,143.15,0.0,0.0,0.0
Donovan Ferreira,35,694,360,42,56,25,244,354,8,14,"Hundred,IPL,MLC,SA20,T20I",27.76,192.78,44.25,8.7,40.7
Ryan Rickelton,35,1061,686,100,58,31,0,0,0,10,"IPL,SA20,T20I",34.23,154.66,0.0,0.0,0.0
